Index,UNIQUE_SUBJECT_UID,Task,Train,Test,Congruency,Ratio,Validation Accuracy
34,size_equate_1_175,size,Average Diameter,Convex Hull,0,50,1.0
35,size_equate_1_176,size,Average Diameter,Convex Hull,0,50,1.0
36,size_equate_1_177,size,Average Diameter,Convex Hull,0,50,0.0
37,size_equate_1_178,size,Average Diameter,Convex Hull,0,50,1.0
38,size_equate_1_179,size,Average Diameter,Convex Hull,0,50,1.0
39,size_equate_1_180,size,Average Diameter,Convex Hull,0,50,1.0
40,size_equate_1_161,size,Average Diameter,Convex Hull,1,56,1.0
41,size_equate_1_162,size,Average Diameter,Convex Hull,1,56,0.95
42,size_equate_1_163,size,Average Diameter,Convex Hull,1,56,1.0
43,size_equate_1_164,size,Average Diameter,Convex Hull,1,56,1.0
44,size_equate_1_165,size,Average Diameter,Convex Hull,1,56,1.0
45,size_equate_1_166,size,Average Diameter,Convex Hull,1,56,1.0
46,size_equate_1_167,size,Average Diameter,Convex Hull,1,56,1.0
47,size_equate_1_168,size,Average Diameter,Convex Hull,1,56,1.0
48,size_equate_1_169,size,Average Diameter,Convex Hull,1,56,1.0
49,size_equate_1_170,size,Average Diameter,Convex Hull,1,56,1.0
50,size_equate_1_171,size,Average Diameter,Convex Hull,1,56,1.0
51,size_equate_1_172,size,Average Diameter,Convex Hull,1,56,1.0
52,size_equate_1_173,size,Average Diameter,Convex Hull,1,56,1.0
53,size_equate_1_174,size,Average Diameter,Convex Hull,1,56,0.95
54,size_equate_1_175,size,Average Diameter,Convex Hull,1,56,0.95
55,size_equate_1_176,size,Average Diameter,Convex Hull,1,56,1.0
56,size_equate_1_177,size,Average Diameter,Convex Hull,1,56,0.0
57,size_equate_1_178,size,Average Diameter,Convex Hull,1,56,1.0
58,size_equate_1_179,size,Average Diameter,Convex Hull,1,56,1.0
59,size_equate_1_180,size,Average Diameter,Convex Hull,1,56,1.0
60,size_equate_1_161,size,Average Diameter,Convex Hull,0,56,1.0
61,size_equate_1_162,size,Average Diameter,Convex Hull,0,56,1.0
62,size_equate_1_163,size,Average Diameter,Convex Hull,0,56,1.0
63,size_equate_1_164,size,Average Diameter,Convex Hull,0,56,1.0
64,size_equate_1_165,size,Average Diameter,Convex Hull,0,56,1.0
65,size_equate_1_166,size,Average Diameter,Convex Hull,0,56,1.0
66,size_equate_1_167,size,Average Diameter,Convex Hull,0,56,1.0
67,size_equate_1_168,size,Average Diameter,Convex Hull,0,56,1.0
68,size_equate_1_169,size,Average Diameter,Convex Hull,0,56,1.0
69,size_equate_1_170,size,Average Diameter,Convex Hull,0,56,1.0
70,size_equate_1_171,size,Average Diameter,Convex Hull,0,56,1.0
71,size_equate_1_172,size,Average Diameter,Convex Hull,0,56,1.0
72,size_equate_1_173,size,Average Diameter,Convex Hull,0,56,1.0
73,size_equate_1_174,size,Average Diameter,Convex Hull,0,56,1.0
74,size_equate_1_175,size,Average Diameter,Convex Hull,0,56,1.0
75,size_equate_1_176,size,Average Diameter,Convex Hull,0,56,1.0
76,size_equate_1_177,size,Average Diameter,Convex Hull,0,56,1.0
77,size_equate_1_178,size,Average Diameter,Convex Hull,0,56,0.8
78,size_equate_1_179,size,Average Diameter,Convex Hull,0,56,1.0
79,size_equate_1_180,size,Average Diameter,Convex Hull,0,56,1.0
80,size_equate_1_161,size,Average Diameter,Convex Hull,1,63,1.0
81,size_equate_1_162,size,Average Diameter,Convex Hull,1,63,0.9
82,size_equate_1_163,size,Average Diameter,Convex Hull,1,63,1.0
83,size_equate_1_164,size,Average Diameter,Convex Hull,1,63,1.0
84,size_equate_1_165,size,Average Diameter,Convex Hull,1,63,1.0
85,size_equate_1_166,size,Average Diameter,Convex Hull,1,63,1.0
86,size_equate_1_167,size,Average Diameter,Convex Hull,1,63,1.0
87,size_equate_1_168,size,Average Diameter,Convex Hull,1,63,1.0
88,size_equate_1_169,size,Average Diameter,Convex Hull,1,63,1.0
89,size_equate_1_170,size,Average Diameter,Convex Hull,1,63,1.0
90,size_equate_1_171,size,Average Diameter,Convex Hull,1,63,0.95
91,size_equate_1_172,size,Average Diameter,Convex Hull,1,63,0.95
92,size_equate_1_173,size,Average Diameter,Convex Hull,1,63,0.95
93,size_equate_1_174,size,Average Diameter,Convex Hull,1,63,0.95
94,size_equate_1_175,size,Average Diameter,Convex Hull,1,63,1.0
95,size_equate_1_176,size,Average Diameter,Convex Hull,1,63,0.95
96,size_equate_1_177,size,Average Diameter,Convex Hull,1,63,0.0
97,size_equate_1_178,size,Average Diameter,Convex Hull,1,63,1.0
98,size_equate_1_179,size,Average Diameter,Convex Hull,1,63,1.0
99,size_equate_1_180,size,Average Diameter,Convex Hull,1,63,1.0
100,size_equate_1_161,size,Average Diameter,Convex Hull,0,63,1.0
101,size_equate_1_162,size,Average Diameter,Convex Hull,0,63,1.0
102,size_equate_1_163,size,Average Diameter,Convex Hull,0,63,0.85
103,size_equate_1_164,size,Average Diameter,Convex Hull,0,63,0.95
104,size_equate_1_165,size,Average Diameter,Convex Hull,0,63,1.0
105,size_equate_1_166,size,Average Diameter,Convex Hull,0,63,1.0
106,size_equate_1_167,size,Average Diameter,Convex Hull,0,63,1.0
107,size_equate_1_168,size,Average Diameter,Convex Hull,0,63,1.0
108,size_equate_1_169,size,Average Diameter,Convex Hull,0,63,1.0
109,size_equate_1_170,size,Average Diameter,Convex Hull,0,63,1.0
110,size_equate_1_171,size,Average Diameter,Convex Hull,0,63,1.0
111,size_equate_1_172,size,Average Diameter,Convex Hull,0,63,1.0
112,size_equate_1_173,size,Average Diameter,Convex Hull,0,63,1.0
113,size_equate_1_174,size,Average Diameter,Convex Hull,0,63,1.0
114,size_equate_1_175,size,Average Diameter,Convex Hull,0,63,1.0
115,size_equate_1_176,size,Average Diameter,Convex Hull,0,63,1.0
116,size_equate_1_177,size,Average Diameter,Convex Hull,0,63,1.0
117,size_equate_1_178,size,Average Diameter,Convex Hull,0,63,0.75
118,size_equate_1_179,size,Average Diameter,Convex Hull,0,63,0.9
119,size_equate_1_180,size,Average Diameter,Convex Hull,0,63,0.95
120,size_equate_1_161,size,Average Diameter,Convex Hull,1,71,1.0
121,size_equate_1_162,size,Average Diameter,Convex Hull,1,71,0.85
122,size_equate_1_163,size,Average Diameter,Convex Hull,1,71,1.0
123,size_equate_1_164,size,Average Diameter,Convex Hull,1,71,1.0
124,size_equate_1_165,size,Average Diameter,Convex Hull,1,71,1.0
125,size_equate_1_166,size,Average Diameter,Convex Hull,1,71,1.0
126,size_equate_1_167,size,Average Diameter,Convex Hull,1,71,1.0
127,size_equate_1_168,size,Average Diameter,Convex Hull,1,71,1.0
128,size_equate_1_169,size,Average Diameter,Convex Hull,1,71,1.0
129,size_equate_1_170,size,Average Diameter,Convex Hull,1,71,1.0
130,size_equate_1_171,size,Average Diameter,Convex Hull,1,71,1.0
131,size_equate_1_172,size,Average Diameter,Convex Hull,1,71,1.0
132,size_equate_1_173,size,Average Diameter,Convex Hull,1,71,1.0
133,size_equate_1_174,size,Average Diameter,Convex Hull,1,71,0.95
134,size_equate_1_175,size,Average Diameter,Convex Hull,1,71,0.95
135,size_equate_1_176,size,Average Diameter,Convex Hull,1,71,1.0
136,size_equate_1_177,size,Average Diameter,Convex Hull,1,71,0.0
137,size_equate_1_178,size,Average Diameter,Convex Hull,1,71,1.0
138,size_equate_1_179,size,Average Diameter,Convex Hull,1,71,1.0
139,size_equate_1_180,size,Average Diameter,Convex Hull,1,71,1.0
140,size_equate_1_161,size,Average Diameter,Convex Hull,0,71,1.0
141,size_equate_1_162,size,Average Diameter,Convex Hull,0,71,1.0
142,size_equate_1_163,size,Average Diameter,Convex Hull,0,71,0.8
143,size_equate_1_164,size,Average Diameter,Convex Hull,0,71,0.9
144,size_equate_1_165,size,Average Diameter,Convex Hull,0,71,1.0
145,size_equate_1_166,size,Average Diameter,Convex Hull,0,71,0.95
146,size_equate_1_167,size,Average Diameter,Convex Hull,0,71,1.0
147,size_equate_1_168,size,Average Diameter,Convex Hull,0,71,1.0
148,size_equate_1_169,size,Average Diameter,Convex Hull,0,71,1.0
149,size_equate_1_170,size,Average Diameter,Convex Hull,0,71,0.95
150,size_equate_1_171,size,Average Diameter,Convex Hull,0,71,0.95
151,size_equate_1_172,size,Average Diameter,Convex Hull,0,71,1.0
152,size_equate_1_173,size,Average Diameter,Convex Hull,0,71,1.0
153,size_equate_1_174,size,Average Diameter,Convex Hull,0,71,0.95
