,Task,Train,Congruity,Test,Ratio,Accuracy,std
193,count,TS-controlled,Congruent,TS-controlled,50,0.8425,0.11502288101892916
194,count,TS-controlled,Congruent,TS-controlled,56,0.945,0.15551273428988313
195,count,TS-controlled,Congruent,TS-controlled,63,0.9175,0.17265344052846382
196,count,TS-controlled,Congruent,TS-controlled,71,0.8475,0.13025784146514136
197,count,TS-controlled,Congruent,TS-controlled,75,0.71,0.12204399551844108
198,count,TS-controlled,Congruent,TS-controlled,86,0.8425,0.14892156183356178
199,count,TS-controlled,Incongruent,AD-controlled,50,0.5725,0.14370565677618152
200,count,TS-controlled,Incongruent,AD-controlled,56,0.7775,0.12190915513308734
201,count,TS-controlled,Incongruent,AD-controlled,63,0.7325,0.1216930997481607
202,count,TS-controlled,Incongruent,AD-controlled,71,0.8125,0.15966659341462627
203,count,TS-controlled,Incongruent,AD-controlled,75,0.685,0.11367080817685317
204,count,TS-controlled,Incongruent,AD-controlled,86,0.8125,0.12863146050472624
205,count,TS-controlled,Incongruent,CH-controlled,50,0.3925,0.09904145862372885
206,count,TS-controlled,Incongruent,CH-controlled,56,0.355,0.14858986293964016
207,count,TS-controlled,Incongruent,CH-controlled,63,0.2875,0.12447257148718179
208,count,TS-controlled,Incongruent,CH-controlled,71,0.3275,0.07517523388373118
209,count,TS-controlled,Incongruent,CH-controlled,75,0.47750000000000004,0.06584471365105535
210,count,TS-controlled,Incongruent,CH-controlled,86,0.3825,0.12594380534692112
211,count,TS-controlled,Incongruent,TS-controlled,50,0.38,0.1331797360909803
212,count,TS-controlled,Incongruent,TS-controlled,56,0.7775,0.17204268136287085
213,count,TS-controlled,Incongruent,TS-controlled,63,0.72,0.16335302423376125
214,count,TS-controlled,Incongruent,TS-controlled,71,0.7225,0.14642673756416283
215,count,TS-controlled,Incongruent,TS-controlled,75,0.8,0.13377121081198773
216,count,TS-controlled,Incongruent,TS-controlled,86,0.7075,0.13404143114409775
217,size-count,AD-controlled,Congruent,AD-controlled,50,0.9875,0.03193331868292525
218,size-count,AD-controlled,Congruent,AD-controlled,56,0.995,0.015389675281277325
219,size-count,AD-controlled,Congruent,AD-controlled,63,0.985,0.040065735459301595
220,size-count,AD-controlled,Congruent,AD-controlled,71,0.9349999999999999,0.07796760460871587
221,size-count,AD-controlled,Congruent,AD-controlled,75,0.9475,0.1044723584696475
222,size-count,AD-controlled,Congruent,AD-controlled,86,0.8475,0.14997806857214682
223,size-count,AD-controlled,Congruent,CH-controlled,50,0.9325,0.08155559937535671
224,size-count,AD-controlled,Congruent,CH-controlled,56,0.925,0.13812656286327063
225,size-count,AD-controlled,Congruent,CH-controlled,63,0.8375,0.09579995604877575
226,size-count,AD-controlled,Congruent,CH-controlled,71,0.875,0.14912022701586514
227,size-count,AD-controlled,Congruent,CH-controlled,75,0.88,0.17873826792562533
228,size-count,AD-controlled,Congruent,CH-controlled,86,0.8275,0.15515272611543962
229,size-count,AD-controlled,Congruent,TS-controlled,50,0.9475,0.08503095411610255
230,size-count,AD-controlled,Congruent,TS-controlled,56,0.77,0.16009865379624033
231,size-count,AD-controlled,Congruent,TS-controlled,63,0.8375,0.1890941007735789
232,size-count,AD-controlled,Congruent,TS-controlled,71,0.6525,0.1534472307719463
233,size-count,AD-controlled,Congruent,TS-controlled,75,0.6925,0.21105935807629791
234,size-count,AD-controlled,Congruent,TS-controlled,86,0.545,0.10117728057851305
235,size-count,AD-controlled,Incongruent,AD-controlled,50,0.475,0.1817314386381005
236,size-count,AD-controlled,Incongruent,AD-controlled,56,0.7275,0.1860072154797397
237,size-count,AD-controlled,Incongruent,AD-controlled,63,0.6375,0.14407143695878244
238,size-count,AD-controlled,Incongruent,AD-controlled,71,0.6775,0.12190915513308735
239,size-count,AD-controlled,Incongruent,AD-controlled,75,0.61,0.12096106376585988
240,size-count,AD-controlled,Incongruent,AD-controlled,86,0.8275,0.13905224311671305
241,size-count,AD-controlled,Incongruent,CH-controlled,50,0.28,0.11401754250991379
242,size-count,AD-controlled,Incongruent,CH-controlled,56,0.23750000000000002,0.08866702941490234
243,size-count,AD-controlled,Incongruent,CH-controlled,63,0.22,0.08335087534664906
244,size-count,AD-controlled,Incongruent,CH-controlled,71,0.2175,0.09215975831474157
245,size-count,AD-controlled,Incongruent,CH-controlled,75,0.315,0.08900029568253662
246,size-count,AD-controlled,Incongruent,CH-controlled,86,0.3325,0.06129093691051248
247,size-count,AD-controlled,Incongruent,TS-controlled,50,0.72,0.09787209698591859
248,size-count,AD-controlled,Incongruent,TS-controlled,56,0.42,0.11516578439248719
249,size-count,AD-controlled,Incongruent,TS-controlled,63,0.47750000000000004,0.09930680795022644
250,size-count,AD-controlled,Incongruent,TS-controlled,71,0.435,0.16230251157378278
251,size-count,AD-controlled,Incongruent,TS-controlled,75,0.42,0.09920738512408185
252,size-count,AD-controlled,Incongruent,TS-controlled,86,0.3575,0.04666510022433649
253,size-count,CH-controlled,Congruent,AD-controlled,50,0.65,0.15217718205053643
254,size-count,CH-controlled,Congruent,AD-controlled,56,0.955,0.08413648060396306
255,size-count,CH-controlled,Congruent,AD-controlled,63,0.8225,0.11059052019904209
256,size-count,CH-controlled,Congruent,AD-controlled,71,0.88,0.09090191359227175
257,size-count,CH-controlled,Congruent,AD-controlled,75,0.845,0.08720815992723809
258,size-count,CH-controlled,Congruent,AD-controlled,86,0.8049999999999999,0.07762934876368398
