,UNIQUE_SUBJECT_UID,Task,Train,Test,Generations,Congruity,Ratio,Validation Accuracy
154,size_equate_1_135,size,AD-controlled,AD-controlled,7,Incongruent,71,0.7
155,size_equate_1_136,size,AD-controlled,AD-controlled,7,Incongruent,71,0.5
156,size_equate_1_137,size,AD-controlled,AD-controlled,7,Incongruent,71,0.7
157,size_equate_1_138,size,AD-controlled,AD-controlled,7,Incongruent,71,0.8
158,size_equate_1_139,size,AD-controlled,AD-controlled,7,Incongruent,71,0.45
159,size_equate_1_140,size,AD-controlled,AD-controlled,7,Incongruent,71,0.65
160,size_equate_1_121,size,AD-controlled,AD-controlled,7,Congruent,75,0.9
161,size_equate_1_122,size,AD-controlled,AD-controlled,7,Congruent,75,0.95
162,size_equate_1_123,size,AD-controlled,AD-controlled,7,Congruent,75,0.95
163,size_equate_1_124,size,AD-controlled,AD-controlled,7,Congruent,75,0.85
164,size_equate_1_125,size,AD-controlled,AD-controlled,7,Congruent,75,1.0
165,size_equate_1_126,size,AD-controlled,AD-controlled,7,Congruent,75,1.0
166,size_equate_1_127,size,AD-controlled,AD-controlled,7,Congruent,75,1.0
168,size_equate_1_129,size,AD-controlled,AD-controlled,7,Congruent,75,1.0
169,size_equate_1_130,size,AD-controlled,AD-controlled,7,Congruent,75,0.95
170,size_equate_1_131,size,AD-controlled,AD-controlled,7,Congruent,75,0.95
171,size_equate_1_132,size,AD-controlled,AD-controlled,7,Congruent,75,0.95
172,size_equate_1_133,size,AD-controlled,AD-controlled,7,Congruent,75,0.8
173,size_equate_1_134,size,AD-controlled,AD-controlled,7,Congruent,75,0.95
174,size_equate_1_135,size,AD-controlled,AD-controlled,7,Congruent,75,0.95
175,size_equate_1_136,size,AD-controlled,AD-controlled,7,Congruent,75,0.95
176,size_equate_1_137,size,AD-controlled,AD-controlled,7,Congruent,75,1.0
177,size_equate_1_138,size,AD-controlled,AD-controlled,7,Congruent,75,0.95
178,size_equate_1_139,size,AD-controlled,AD-controlled,7,Congruent,75,0.9
179,size_equate_1_140,size,AD-controlled,AD-controlled,7,Congruent,75,1.0
180,size_equate_1_121,size,AD-controlled,AD-controlled,7,Incongruent,75,0.65
181,size_equate_1_122,size,AD-controlled,AD-controlled,7,Incongruent,75,0.5
182,size_equate_1_123,size,AD-controlled,AD-controlled,7,Incongruent,75,0.65
183,size_equate_1_124,size,AD-controlled,AD-controlled,7,Incongruent,75,0.45
184,size_equate_1_125,size,AD-controlled,AD-controlled,7,Incongruent,75,0.55
185,size_equate_1_126,size,AD-controlled,AD-controlled,7,Incongruent,75,0.65
186,size_equate_1_127,size,AD-controlled,AD-controlled,7,Incongruent,75,0.8
188,size_equate_1_129,size,AD-controlled,AD-controlled,7,Incongruent,75,0.8
189,size_equate_1_130,size,AD-controlled,AD-controlled,7,Incongruent,75,0.55
190,size_equate_1_131,size,AD-controlled,AD-controlled,7,Incongruent,75,0.7
191,size_equate_1_132,size,AD-controlled,AD-controlled,7,Incongruent,75,0.8
192,size_equate_1_133,size,AD-controlled,AD-controlled,7,Incongruent,75,0.65
193,size_equate_1_134,size,AD-controlled,AD-controlled,7,Incongruent,75,0.6
194,size_equate_1_135,size,AD-controlled,AD-controlled,7,Incongruent,75,0.75
195,size_equate_1_136,size,AD-controlled,AD-controlled,7,Incongruent,75,0.6
196,size_equate_1_137,size,AD-controlled,AD-controlled,7,Incongruent,75,0.75
197,size_equate_1_138,size,AD-controlled,AD-controlled,7,Incongruent,75,0.75
198,size_equate_1_139,size,AD-controlled,AD-controlled,7,Incongruent,75,0.7
199,size_equate_1_140,size,AD-controlled,AD-controlled,7,Incongruent,75,0.65
200,size_equate_1_121,size,AD-controlled,AD-controlled,7,Congruent,86,1.0
201,size_equate_1_122,size,AD-controlled,AD-controlled,7,Congruent,86,0.9
202,size_equate_1_123,size,AD-controlled,AD-controlled,7,Congruent,86,0.8
203,size_equate_1_124,size,AD-controlled,AD-controlled,7,Congruent,86,0.9
204,size_equate_1_125,size,AD-controlled,AD-controlled,7,Congruent,86,0.95
205,size_equate_1_126,size,AD-controlled,AD-controlled,7,Congruent,86,0.95
206,size_equate_1_127,size,AD-controlled,AD-controlled,7,Congruent,86,0.95
208,size_equate_1_129,size,AD-controlled,AD-controlled,7,Congruent,86,0.95
209,size_equate_1_130,size,AD-controlled,AD-controlled,7,Congruent,86,1.0
210,size_equate_1_131,size,AD-controlled,AD-controlled,7,Congruent,86,0.95
211,size_equate_1_132,size,AD-controlled,AD-controlled,7,Congruent,86,0.9
212,size_equate_1_133,size,AD-controlled,AD-controlled,7,Congruent,86,0.6
213,size_equate_1_134,size,AD-controlled,AD-controlled,7,Congruent,86,0.8
214,size_equate_1_135,size,AD-controlled,AD-controlled,7,Congruent,86,0.95
215,size_equate_1_136,size,AD-controlled,AD-controlled,7,Congruent,86,0.95
216,size_equate_1_137,size,AD-controlled,AD-controlled,7,Congruent,86,0.95
217,size_equate_1_138,size,AD-controlled,AD-controlled,7,Congruent,86,0.95
218,size_equate_1_139,size,AD-controlled,AD-controlled,7,Congruent,86,0.95
219,size_equate_1_140,size,AD-controlled,AD-controlled,7,Congruent,86,0.95
220,size_equate_1_121,size,AD-controlled,AD-controlled,7,Incongruent,86,0.65
221,size_equate_1_122,size,AD-controlled,AD-controlled,7,Incongruent,86,0.5
222,size_equate_1_123,size,AD-controlled,AD-controlled,7,Incongruent,86,0.75
223,size_equate_1_124,size,AD-controlled,AD-controlled,7,Incongruent,86,0.55
224,size_equate_1_125,size,AD-controlled,AD-controlled,7,Incongruent,86,0.6
225,size_equate_1_126,size,AD-controlled,AD-controlled,7,Incongruent,86,0.65
226,size_equate_1_127,size,AD-controlled,AD-controlled,7,Incongruent,86,0.75
228,size_equate_1_129,size,AD-controlled,AD-controlled,7,Incongruent,86,0.65
229,size_equate_1_130,size,AD-controlled,AD-controlled,7,Incongruent,86,0.45
230,size_equate_1_131,size,AD-controlled,AD-controlled,7,Incongruent,86,0.7
231,size_equate_1_132,size,AD-controlled,AD-controlled,7,Incongruent,86,0.7
232,size_equate_1_133,size,AD-controlled,AD-controlled,7,Incongruent,86,0.7
233,size_equate_1_134,size,AD-controlled,AD-controlled,7,Incongruent,86,0.65
234,size_equate_1_135,size,AD-controlled,AD-controlled,7,Incongruent,86,0.7
235,size_equate_1_136,size,AD-controlled,AD-controlled,7,Incongruent,86,0.6
236,size_equate_1_137,size,AD-controlled,AD-controlled,7,Incongruent,86,0.6
237,size_equate_1_138,size,AD-controlled,AD-controlled,7,Incongruent,86,0.75
238,size_equate_1_139,size,AD-controlled,AD-controlled,7,Incongruent,86,0.65
239,size_equate_1_140,size,AD-controlled,AD-controlled,7,Incongruent,86,0.6
0,size_equate_1_121,size,AD-controlled,TS-controlled,7,Congruent,50,1.0
1,size_equate_1_122,size,AD-controlled,TS-controlled,7,Congruent,50,1.0
2,size_equate_1_123,size,AD-controlled,TS-controlled,7,Congruent,50,1.0
3,size_equate_1_124,size,AD-controlled,TS-controlled,7,Congruent,50,1.0
4,size_equate_1_125,size,AD-controlled,TS-controlled,7,Congruent,50,1.0
5,size_equate_1_126,size,AD-controlled,TS-controlled,7,Congruent,50,1.0
6,size_equate_1_127,size,AD-controlled,TS-controlled,7,Congruent,50,1.0
8,size_equate_1_129,size,AD-controlled,TS-controlled,7,Congruent,50,1.0
9,size_equate_1_130,size,AD-controlled,TS-controlled,7,Congruent,50,1.0
10,size_equate_1_131,size,AD-controlled,TS-controlled,7,Congruent,50,1.0
11,size_equate_1_132,size,AD-controlled,TS-controlled,7,Congruent,50,1.0
12,size_equate_1_133,size,AD-controlled,TS-controlled,7,Congruent,50,0.9
13,size_equate_1_134,size,AD-controlled,TS-controlled,7,Congruent,50,1.0
14,size_equate_1_135,size,AD-controlled,TS-controlled,7,Congruent,50,1.0
15,size_equate_1_136,size,AD-controlled,TS-controlled,7,Congruent,50,1.0
16,size_equate_1_137,size,AD-controlled,TS-controlled,7,Congruent,50,1.0
17,size_equate_1_138,size,AD-controlled,TS-controlled,7,Congruent,50,1.0
18,size_equate_1_139,size,AD-controlled,TS-controlled,7,Congruent,50,1.0
19,size_equate_1_140,size,AD-controlled,TS-controlled,7,Congruent,50,1.0
20,size_equate_1_121,size,AD-controlled,TS-controlled,7,Incongruent,50,0.95
21,size_equate_1_122,size,AD-controlled,TS-controlled,7,Incongruent,50,0.65
22,size_equate_1_123,size,AD-controlled,TS-controlled,7,Incongruent,50,0.65
23,size_equate_1_124,size,AD-controlled,TS-controlled,7,Incongruent,50,0.7
24,size_equate_1_125,size,AD-controlled,TS-controlled,7,Incongruent,50,0.75
25,size_equate_1_126,size,AD-controlled,TS-controlled,7,Incongruent,50,0.95
26,size_equate_1_127,size,AD-controlled,TS-controlled,7,Incongruent,50,0.8
28,size_equate_1_129,size,AD-controlled,TS-controlled,7,Incongruent,50,0.85
29,size_equate_1_130,size,AD-controlled,TS-controlled,7,Incongruent,50,0.75
30,size_equate_1_131,size,AD-controlled,TS-controlled,7,Incongruent,50,0.85
31,size_equate_1_132,size,AD-controlled,TS-controlled,7,Incongruent,50,0.8
32,size_equate_1_133,size,AD-controlled,TS-controlled,7,Incongruent,50,0.5
33,size_equate_1_134,size,AD-controlled,TS-controlled,7,Incongruent,50,0.65
34,size_equate_1_135,size,AD-controlled,TS-controlled,7,Incongruent,50,0.7
35,size_equate_1_136,size,AD-controlled,TS-controlled,7,Incongruent,50,0.55
36,size_equate_1_137,size,AD-controlled,TS-controlled,7,Incongruent,50,0.8
37,size_equate_1_138,size,AD-controlled,TS-controlled,7,Incongruent,50,0.85
38,size_equate_1_139,size,AD-controlled,TS-controlled,7,Incongruent,50,0.6
39,size_equate_1_140,size,AD-controlled,TS-controlled,7,Incongruent,50,0.85
40,size_equate_1_121,size,AD-controlled,TS-controlled,7,Congruent,56,0.8
41,size_equate_1_122,size,AD-controlled,TS-controlled,7,Congruent,56,0.95
42,size_equate_1_123,size,AD-controlled,TS-controlled,7,Congruent,56,1.0
43,size_equate_1_124,size,AD-controlled,TS-controlled,7,Congruent,56,0.9
44,size_equate_1_125,size,AD-controlled,TS-controlled,7,Congruent,56,1.0
45,size_equate_1_126,size,AD-controlled,TS-controlled,7,Congruent,56,1.0
46,size_equate_1_127,size,AD-controlled,TS-controlled,7,Congruent,56,1.0
48,size_equate_1_129,size,AD-controlled,TS-controlled,7,Congruent,56,0.9
49,size_equate_1_130,size,AD-controlled,TS-controlled,7,Congruent,56,0.95
50,size_equate_1_131,size,AD-controlled,TS-controlled,7,Congruent,56,1.0
51,size_equate_1_132,size,AD-controlled,TS-controlled,7,Congruent,56,1.0
52,size_equate_1_133,size,AD-controlled,TS-controlled,7,Congruent,56,0.75
53,size_equate_1_134,size,AD-controlled,TS-controlled,7,Congruent,56,0.9
54,size_equate_1_135,size,AD-controlled,TS-controlled,7,Congruent,56,1.0
55,size_equate_1_136,size,AD-controlled,TS-controlled,7,Congruent,56,1.0
56,size_equate_1_137,size,AD-controlled,TS-controlled,7,Congruent,56,1.0
57,size_equate_1_138,size,AD-controlled,TS-controlled,7,Congruent,56,1.0
58,size_equate_1_139,size,AD-controlled,TS-controlled,7,Congruent,56,1.0
59,size_equate_1_140,size,AD-controlled,TS-controlled,7,Congruent,56,1.0
60,size_equate_1_121,size,AD-controlled,TS-controlled,7,Incongruent,56,0.95
61,size_equate_1_122,size,AD-controlled,TS-controlled,7,Incongruent,56,0.75
62,size_equate_1_123,size,AD-controlled,TS-controlled,7,Incongruent,56,1.0
63,size_equate_1_124,size,AD-controlled,TS-controlled,7,Incongruent,56,0.9
64,size_equate_1_125,size,AD-controlled,TS-controlled,7,Incongruent,56,0.95
65,size_equate_1_126,size,AD-controlled,TS-controlled,7,Incongruent,56,0.95
66,size_equate_1_127,size,AD-controlled,TS-controlled,7,Incongruent,56,0.95
68,size_equate_1_129,size,AD-controlled,TS-controlled,7,Incongruent,56,0.95
69,size_equate_1_130,size,AD-controlled,TS-controlled,7,Incongruent,56,0.85
70,size_equate_1_131,size,AD-controlled,TS-controlled,7,Incongruent,56,0.95
71,size_equate_1_132,size,AD-controlled,TS-controlled,7,Incongruent,56,1.0
72,size_equate_1_133,size,AD-controlled,TS-controlled,7,Incongruent,56,0.8
73,size_equate_1_134,size,AD-controlled,TS-controlled,7,Incongruent,56,1.0
74,size_equate_1_135,size,AD-controlled,TS-controlled,7,Incongruent,56,0.95
75,size_equate_1_136,size,AD-controlled,TS-controlled,7,Incongruent,56,0.8
76,size_equate_1_137,size,AD-controlled,TS-controlled,7,Incongruent,56,0.95
77,size_equate_1_138,size,AD-controlled,TS-controlled,7,Incongruent,56,1.0
78,size_equate_1_139,size,AD-controlled,TS-controlled,7,Incongruent,56,0.8
79,size_equate_1_140,size,AD-controlled,TS-controlled,7,Incongruent,56,0.95
80,size_equate_1_121,size,AD-controlled,TS-controlled,7,Congruent,63,0.85
81,size_equate_1_122,size,AD-controlled,TS-controlled,7,Congruent,63,0.95
