,Task,Train,Congruity,Test,Ratio,Accuracy,std
285,size-count,CH-controlled,Incongruent,TS-controlled,63,0.49,0.08045920836
286,size-count,CH-controlled,Incongruent,TS-controlled,71,0.485,0.07451598204
287,size-count,CH-controlled,Incongruent,TS-controlled,75,0.51,0.06198471798
288,size-count,CH-controlled,Incongruent,TS-controlled,86,0.4125,0.06663924875
307,size-count,TS-controlled,Incongruent,AD-controlled,50,0.7473684211,0.1918286882
308,size-count,TS-controlled,Incongruent,AD-controlled,56,0.95,0.08498365856
309,size-count,TS-controlled,Incongruent,AD-controlled,63,0.8973684211,0.07541309238
310,size-count,TS-controlled,Incongruent,AD-controlled,71,0.9026315789,0.0824514743
311,size-count,TS-controlled,Incongruent,AD-controlled,75,0.8526315789,0.0978571581
312,size-count,TS-controlled,Incongruent,AD-controlled,86,0.8421052632,0.07502436251
313,size-count,TS-controlled,Incongruent,CH-controlled,50,0.4894736842,0.08093026382
314,size-count,TS-controlled,Incongruent,CH-controlled,56,0.5315789474,0.1192692173
315,size-count,TS-controlled,Incongruent,CH-controlled,63,0.4710526316,0.08549819601
316,size-count,TS-controlled,Incongruent,CH-controlled,71,0.4342105263,0.07826704922
317,size-count,TS-controlled,Incongruent,CH-controlled,75,0.5157894737,0.0646628684
318,size-count,TS-controlled,Incongruent,CH-controlled,86,0.5210526316,0.09763280055
319,size-count,TS-controlled,Incongruent,TS-controlled,50,0.6947368421,0.1906820629
320,size-count,TS-controlled,Incongruent,TS-controlled,56,0.9447368421,0.1499025024
321,size-count,TS-controlled,Incongruent,TS-controlled,63,0.8342105263,0.129156055
322,size-count,TS-controlled,Incongruent,TS-controlled,71,0.8578947368,0.1325635675
323,size-count,TS-controlled,Incongruent,TS-controlled,75,0.8763157895,0.1357780266
324,size-count,TS-controlled,Incongruent,TS-controlled,86,0.7210526316,0.1071289325
